"time","tx_pkts","rx_pkts"
0,1,0
1,0,0
2,0,0
3,1,1
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,9,7
122,236,85
123,250,133
124,225,100
125,257,53
126,255,99
127,267,116
128,267,159
129,262,126
130,280,157
131,269,150
132,276,129
133,265,159
134,238,111
135,233,155
136,299,163
137,34,25
138,16,11
139,218,138
140,268,179
141,290,144
142,89,29
143,208,150
144,167,103
145,179,73
146,246,59
147,228,109
148,200,46
149,257,70
150,270,76
151,151,51
152,247,50
153,279,71
154,249,90
155,272,71
156,214,68
157,37,15
158,325,146
159,328,159
160,287,65
161,57,15
162,270,136
163,279,124
164,271,185
165,238,149
166,285,156
167,256,114
168,287,110
169,262,186
170,286,161
171,277,129
172,259,150
173,107,66
174,267,164
175,268,102
176,273,65
177,218,70
178,30,13
179,19,0
180,186,49
181,249,65
182,265,73
183,279,80
184,287,84
185,278,77
186,290,150
187,282,146
188,211,86
189,274,89
190,270,92
191,271,120
192,253,143
193,167,113
194,51,37
195,240,102
196,265,157
197,256,142
198,227,94
199,19,13
200,127,62
201,294,208
202,253,120
203,291,147
204,278,194
205,292,166
206,292,148
207,266,153
208,255,167
209,282,102
210,280,181
211,283,198
212,115,48
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
