"time","tx_b","rx_b"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,3660,9999
123,19805,80736
124,20793,66797
125,17846,55542
126,20593,71967
127,20411,95674
128,21370,87787
129,21400,101475
130,21666,87962
131,21965,92504
132,21812,99293
133,21857,112962
134,20585,141079
135,18058,147334
136,18302,130184
137,23182,203783
138,764,2398
139,633,2742
140,16407,127133
141,20946,189912
142,22202,210742
143,7558,57050
144,15611,134344
145,12174,136003
146,15210,137893
147,19808,164065
148,18136,140418
149,16356,134795
150,19860,152809
151,19512,129491
152,11744,82748
153,20616,142101
154,22214,153556
155,20270,144941
156,21367,127311
157,15651,93137
158,4351,19829
159,26221,133156
160,27074,134684
161,23373,125319
162,4076,17760
163,21863,108692
164,22226,114533
165,21347,131619
166,18283,77357
167,21145,103051
168,19229,87811
169,19852,88940
170,19193,70769
171,20097,87332
172,21227,91120
173,19700,97748
174,19756,82557
175,9088,36881
176,21737,92780
177,21999,84857
178,22353,104217
179,17190,71192
180,1672,10192
181,8649,41300
182,23384,97774
183,22743,98348
184,21392,102657
185,19572,88288
186,21928,94364
187,20225,85550
188,21354,93169
189,19565,90428
190,16616,56689
191,21556,96764
192,22426,119164
193,21414,120820
194,23257,111694
195,5476,40942
196,11674,48686
197,23698,132124
198,23788,149497
199,20496,116947
200,2370,16531
201,6632,31478
202,21312,115706
203,19089,85303
204,22427,132938
205,21077,130817
206,22305,141397
207,23107,129215
208,21999,118350
209,21398,136653
210,21387,142293
211,22239,130514
212,22783,133993
213,16130,92799
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
