"time","tx_b","rx_b"
1,0,0
2,0,0
3,0,0
4,70,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,13685,4064
59,83346,18716
60,27182,7938
61,33511,7390
62,26761,7485
63,26466,7751
64,33514,7628
65,27954,7835
66,28443,7339
67,44348,7652
68,36359,7827
69,26207,6118
70,30434,6691
71,55172,7555
72,28853,6498
73,24349,6831
74,35225,6902
75,37346,7423
76,26561,7543
77,36643,8581
78,40223,8615
79,27975,7112
80,40681,7524
81,60521,8042
82,36982,7314
83,45895,7758
84,36388,3918
85,64306,7781
86,54670,8636
87,47631,7156
88,50286,5114
89,62637,6818
90,39670,6087
91,45571,7230
92,85965,7824
93,56004,5084
94,42480,7111
95,46238,5985
96,55791,6238
97,38324,3508
98,38797,3204
99,65378,6546
100,45896,5785
101,21310,2660
102,31450,4364
103,49240,5636
104,71364,6274
105,50178,4518
106,51538,6608
107,40832,3754
108,28992,4961
109,33063,3196
110,83223,7646
111,54809,6152
112,69364,8545
113,34454,5610
114,67828,6654
115,69042,9372
116,38605,5846
117,58574,8559
118,68936,6924
119,58052,8208
120,41682,5791
121,33339,5622
122,82333,9110
123,62959,9080
124,45601,7859
125,67143,7569
126,63959,8850
127,56926,9040
128,51677,6791
129,51621,6428
130,49406,8605
131,50807,8260
132,50986,5850
133,40213,6896
134,39315,6666
135,33003,6125
136,18582,2438
137,53966,7152
138,31854,7130
139,32299,7059
140,48301,7300
141,29624,6837
142,31032,6332
143,39725,7276
144,36121,7470
145,36598,7260
146,36715,7127
147,17257,2680
148,33481,6144
149,40841,7344
150,41277,7347
151,54826,8142
152,43012,7864
153,10518,1632
154,37054,6637
155,52473,7424
156,33592,6710
157,37777,6617
158,50397,7594
159,42438,7734
160,32351,7060
161,37086,7130
162,38131,6040
163,34096,7872
164,33334,7263
165,43344,6606
166,27630,7565
167,33398,8071
168,52027,9396
169,13360,4426
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
